"entreprise";"adresse";"activite";"effectif";"creation";"dirigeants";"SIREN";"SIRET";"forme_jurid";"TVA_intracommu";"num_RCS";"capital_soc";"date_cloture_ex_compta";"inscrip_RCS";"val_ajoutee_2021";"val_ajoutee_2020";"val_ajoutee_2019";"val_ajoutee_2018";"val_ajoutee_2017";"val_ajoutee_2016";"val_ajoutee/CA(%)_2021";"val_ajoutee/CA(%)_2020";"val_ajoutee/CA(%)_2019";"val_ajoutee/CA(%)_2018";"val_ajoutee/CA(%)_2017";"val_ajoutee/CA(%)_2016";"tresor(€)_2021";"tresor(€)_2020";"tresor(€)_2019";"tresor(€)_2018";"tresor(€)_2017";"tresor(€)_2016";"taux_marge_oper(%)_2021";"taux_marge_oper(%)_2020";"taux_marge_oper(%)_2019";"taux_marge_oper(%)_2018";"taux_marge_oper(%)_2017";"taux_marge_oper(%)_2016";"taux_marge_brute(%)_2021";"taux_marge_brute(%)_2020";"taux_marge_brute(%)_2019";"taux_marge_brute(%)_2018";"taux_marge_brute(%)_2017";"taux_marge_brute(%)_2016";"taux_marge_EBITA(%)_2021";"taux_marge_EBITA(%)_2020";"taux_marge_EBITA(%)_2019";"taux_marge_EBITA(%)_2018";"taux_marge_EBITA(%)_2017";"taux_marge_EBITA(%)_2016";"taux_levier_2021";"taux_levier_2020";"taux_levier_2019";"taux_levier_2018";"taux_levier_2017";"taux_levier_2016";"taux_croiss_CA(%)_2021";"taux_croiss_CA(%)_2020";"taux_croiss_CA(%)_2019";"taux_croiss_CA(%)_2018";"taux_croiss_CA(%)_2017";"taux_croiss_CA(%)_2016";"salaires_et_charges_soc(€)_2021";"salaires_et_charges_soc(€)_2020";"salaires_et_charges_soc(€)_2019";"salaires_et_charges_soc(€)_2018";"salaires_et_charges_soc(€)_2017";"salaires_et_charges_soc(€)_2016";"salaires/CA(%)_2021";"salaires/CA(%)_2020";"salaires/CA(%)_2019";"salaires/CA(%)_2018";"salaires/CA(%)_2017";"salaires/CA(%)_2016";"res_net(€)_2021";"res_net(€)_2020";"res_net(€)_2019";"res_net(€)_2018";"res_net(€)_2017";"res_net(€)_2016";"res_exploitation(€)_2021";"res_exploitation(€)_2020";"res_exploitation(€)_2019";"res_exploitation(€)_2018";"res_exploitation(€)_2017";"res_exploitation(€)_2016";"rentab_fonds_prop(%)_2021";"rentab_fonds_prop(%)_2020";"rentab_fonds_prop(%)_2019";"rentab_fonds_prop(%)_2018";"rentab_fonds_prop(%)_2017";"rentab_fonds_prop(%)_2016";"rentab_eco(%)_2021";"rentab_eco(%)_2020";"rentab_eco(%)_2019";"rentab_eco(%)_2018";"rentab_eco(%)_2017";"rentab_eco(%)_2016";"ratio_stocks/CA_j_2021";"ratio_stocks/CA_j_2020";"ratio_stocks/CA_j_2019";"ratio_stocks/CA_j_2018";"ratio_stocks/CA_j_2017";"ratio_stocks/CA_j_2016";"ratio_endet_2021";"ratio_endet_2020";"ratio_endet_2019";"ratio_endet_2018";"ratio_endet_2017";"ratio_endet_2016";"marge_nette(%)_2021";"marge_nette(%)_2020";"marge_nette(%)_2019";"marge_nette(%)_2018";"marge_nette(%)_2017";"marge_nette(%)_2016";"marge_brute(€)_2021";"marge_brute(€)_2020";"marge_brute(€)_2019";"marge_brute(€)_2018";"marge_brute(€)_2017";"marge_brute(€)_2016";"liq_generale_2021";"liq_generale_2020";"liq_generale_2019";"liq_generale_2018";"liq_generale_2017";"liq_generale_2016";"impo_taxes(€)_2021";"impo_taxes(€)_2020";"impo_taxes(€)_2019";"impo_taxes(€)_2018";"impo_taxes(€)_2017";"impo_taxes(€)_2016";"fond_roulement_net_glob(€)_2021";"fond_roulement_net_glob(€)_2020";"fond_roulement_net_glob(€)_2019";"fond_roulement_net_glob(€)_2018";"fond_roulement_net_glob(€)_2017";"fond_roulement_net_glob(€)_2016";"etat_dettes_1an_au_plus(€)_2021";"etat_dettes_1an_au_plus(€)_2020";"etat_dettes_1an_au_plus(€)_2019";"etat_dettes_1an_au_plus(€)_2018";"etat_dettes_1an_au_plus(€)_2017";"etat_dettes_1an_au_plus(€)_2016";"dettes_fin(€)_2021";"dettes_fin(€)_2020";"dettes_fin(€)_2019";"dettes_fin(€)_2018";"dettes_fin(€)_2017";"dettes_fin(€)_2016";"delai_paie_fourn_j_2021";"delai_paie_fourn_j_2020";"delai_paie_fourn_j_2019";"delai_paie_fourn_j_2018";"delai_paie_fourn_j_2017";"delai_paie_fourn_j_2016";"delai_paie_client_j_2021";"delai_paie_client_j_2020";"delai_paie_client_j_2019";"delai_paie_client_j_2018";"delai_paie_client_j_2017";"delai_paie_client_j_2016";"couverture_BFR_2021";"couverture_BFR_2020";"couverture_BFR_2019";"couverture_BFR_2018";"couverture_BFR_2017";"couverture_BFR_2016";"couv_dettes_2021";"couv_dettes_2020";"couv_dettes_2019";"couv_dettes_2018";"couv_dettes_2017";"couv_dettes_2016";"capacite_remb_2021";"capacite_remb_2020";"capacite_remb_2019";"capacite_remb_2018";"capacite_remb_2017";"capacite_remb_2016";"capacite_autofin/CA(%)_2021";"capacite_autofin/CA(%)_2020";"capacite_autofin/CA(%)_2019";"capacite_autofin/CA(%)_2018";"capacite_autofin/CA(%)_2017";"capacite_autofin/CA(%)_2016";"capacite_autofin(€)_2021";"capacite_autofin(€)_2020";"capacite_autofin(€)_2019";"capacite_autofin(€)_2018";"capacite_autofin(€)_2017";"capacite_autofin(€)_2016";"autonomie_fin(%)_2021";"autonomie_fin(%)_2020";"autonomie_fin(%)_2019";"autonomie_fin(%)_2018";"autonomie_fin(%)_2017";"autonomie_fin(%)_2016";"EBITDA_EBE(€)_2021";"EBITDA_EBE(€)_2020";"EBITDA_EBE(€)_2019";"EBITDA_EBE(€)_2018";"EBITDA_EBE(€)_2017";"EBITDA_EBE(€)_2016";"CA(€)_2021";"CA(€)_2020";"CA(€)_2019";"CA(€)_2018";"CA(€)_2017";"CA(€)_2016";"BFR_j_de_CA_2021";"BFR_j_de_CA_2020";"BFR_j_de_CA_2019";"BFR_j_de_CA_2018";"BFR_j_de_CA_2017";"BFR_j_de_CA_2016";"BFR_hors_exploitation_j_de_CA_2021";"BFR_hors_exploitation_j_de_CA_2020";"BFR_hors_exploitation_j_de_CA_2019";"BFR_hors_exploitation_j_de_CA_2018";"BFR_hors_exploitation_j_de_CA_2017";"BFR_hors_exploitation_j_de_CA_2016";"BFR_hors_exploitation(€)_2021";"BFR_hors_exploitation(€)_2020";"BFR_hors_exploitation(€)_2019";"BFR_hors_exploitation(€)_2018";"BFR_hors_exploitation(€)_2017";"BFR_hors_exploitation(€)_2016";"BFR_exploitation_j_de_CA_2021";"BFR_exploitation_j_de_CA_2020";"BFR_exploitation_j_de_CA_2019";"BFR_exploitation_j_de_CA_2018";"BFR_exploitation_j_de_CA_2017";"BFR_exploitation_j_de_CA_2016";"BFR_exploitation(€)_2021";"BFR_exploitation(€)_2020";"BFR_exploitation(€)_2019";"BFR_exploitation(€)_2018";"BFR_exploitation(€)_2017";"BFR_exploitation(€)_2016";"BFR(€)_2021";"BFR(€)_2020";"BFR(€)_2019";"BFR(€)_2018";"BFR(€)_2017";"BFR(€)_2016"
"123 C.S";"2 BD DE LA GARE 95210 SAINT-GRATIEN";"Conseil pour les affaires et autres conseils de gestion";"Au moins 1 salarié (donnée 2022)";"12/05/2020";"SICOIA 73, Sébastien ANNEQUIN";"883 324 816";"883 324 816 00015";"SAS, société par actions simplifiée";"FR32883324816";"883 324 816 R.C.S. Pontoise";"50 000,00 €";"31/12/2022";"INSCRIT  (au greffe de PONTOISE, le 12/05/2020)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"M2I TECH";"146 RUE DE PICPUS 75012 PARIS 12";"Formation continue d'adultes";"Entre 10 et 19 salariés (donnée 2019)";"05/08/2013";"Georges Seban, ARCADE FINANCE";"795 045 095";"795 045 095 00010";"SASU, société par actions simplifiée unipersonnelle";"FR66795045095";"795 045 095 R.C.S. Paris";"1 060 000,00 €";"31/12/2022";"INSCRIT  (au greffe de PARIS, le 02/09/2013)";;"452K";"176K";"-465K";"251K";;;"85,7";"43,3";"-34,8";8;;;"24,4K";"79K";"162K";"247K";;;"-93,7";-321;-142;"-38,5";;;104;101;"99,4";100;;;"-92,7";-316;-141;"-38,3";;;"-1,6";"-0,2";"0,1";"-1,8";;;"30,1";"-69,7";"-57,6";"-12,1";;;"942K";"1,45M";"1,4M";"1,44M";;;179;357;105;"45,7";;;"-385K";"-1,24M";"-1,94M";"-1,27M";;;"-495K";"-1,3M";"-1,9M";"-1,22M";;;"56,9";424;-205;"60,1";;;"-76,3";-278;-107;"-81,3";;;0;0;0;0;;;"-1,1";"-0,8";"-0,2";-1;;;"-72,9";-305;-145;"-40,3";;;"546K";"409K";"1,33M";"3,16M";;;"0,4";"0,6";"2,2";"0,4";;;"20,3K";"17,7K";"25,8K";"27,4K";;;"53,3K";"-44,2K";"889K";"266K";;;"1,08M";"654K";"774K";"3,65M";;;"795K";"318K";"20K";"2,42M";;;150;162;"67,2";"90,2";;;192;162;"46,1";"49,9";;;"1,8";"0,4";"1,2";"13,5";;;"0,1";"0,3";"-0,5";0;;;-2;"-0,2";"0,1";"-1,7";;;"-71,9";-300;-146;"-40,1";;;"-379K";"-1,22M";"-1,95M";"-1,27M";;;-134;"-65,5";"52,2";-135;;;"-489K";"-1,28M";"-1,89M";"-1,21M";;;"528K";"406K";"1,34M";"3,16M";;;20;-111;198;"2,3";;;"-93,7";-107;267;"37,4";;;"-135K";"-119K";"981K";"324K";;;114;"-3,9";"-69,3";"-35,1";;;"164K";"-4,37K";"-254K";"-304K";;;"28,9K";"-123K";"727K";"19,8K";
"4ITEC 4.0
(4ITEC MULHOUSE - 4ITEC 4.0)";"RTE DE CHALAMPE 68390 SAUSHEIM";"Ingénierie, études techniques";"Entre 3 et 5 salariés (donnée 2019)";"01/05/2017";"Liberato GALEOTA, PSA AUTOMOBILES SA EIFFAGE ENERGIE SYSTEMES-CLEMESSY SEB DEVELOPPEMENT";"829 128 420";"829 128 420 00017";"SAS, société par actions simplifiée";"FR13829128420";"829 128 420 R.C.S. Mulhouse";"385 000,00 €";"31/12/2022";"INSCRIT  (au greffe de MULHOUSE, le 19/05/2017)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"-84,7K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"135K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"73,9";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"174K";;;;;;;;;;;;"-38,4K";;;;;;"135K";
"TERAKALIS";"256 RUE DE THOR 34000 MONTPELLIER";"Ingénierie, études techniques";"Entre 20 et 49 salariés (donnée 2019)";"01/10/2013";"Thierry ANTONINI, AUDIT CONSEIL EXPERTISE";"797 780 111";"797 780 111 00051";"SAS, société par actions simplifiée";"FR78797780111";"797 780 111 R.C.S. Montpellier";"120 735,00 €";"31/12/2022";"INSCRIT  (au greffe de MONTPELLIER, le 09/10/2013)";;;;;;"124K";;;;;;"61,8";;;"68K";"1,11M";;"75,8K";;;;;;"-85,5";;;;;;136;;;;;;"-66,4";;;;;;"-0,2";;;;;"-46,1";93;;;;;;"346K";;;;;;173;;;"-1,42M";"-446K";"-171K";"-8,2K";;;;;;"-171K";;;;;;-21;;;;;;"-1,2";;;;;;0;;;"4,9";"-0,1";;"0,6";;;;;;"-4,1";;;;;;"273K";;;;;;;;;;;;"4,89K";;;"747K";"1,73M";;"-228K";;;;;;;;;"1,18M";"858K";;"97,6K";;;;;;"1,42K";;;;;;"31,5";;;"1,1";"2,8";;"0,8";;;"0,6";"-3,9";;"16,7";;;;;;"0,7";;;;;;15;;;;;;"30,1K";;;"11,2";"58,7";;"5,7";;;;;;"-133K";;;;;"108K";"200K";;;;;;-554;;;;;;"-41,8";;;"864K";"651K";;"-22,9K";;;;;;-512;;;"-185K";"-36,9K";;"-280K";;;"679K";"615K";;"-303K"
"AAA DATA";"2 RUE DE PRESBOURG 75008 PARIS 8";"Traitement de données, hébergement et activités connexes";"Entre 50 et 99 salariés (donnée 2019)";"17/12/2009";"COMITE DES CONSTRUCTEURS FRANCAIS D'AUTOMOBILES, ERNST & YOUNG AUDIT, AUDITEX";"519 071 575";"519 071 575 00012";"SASU, société par actions simplifiée unipersonnelle";"FR17519071575";"519 071 575 R.C.S. Paris";"8 744 900,00 €";"31/12/2022";"INSCRIT  (au greffe de PARIS, le 29/12/2009)";;"7,69M";"10,3M";"9,88M";"10,7M";;;"43,7";"50,7";50;"52,7";;;"10,6M";"14M";"13,8M";"13,4M";;;"0,9";"12,5";"8,8";"14,9";;;104;104;102;103;;;"4,2";"15,6";"13,7";"17,5";;;"-14,2";"-4,4";"-5,1";"-3,8";;;"-13,4";"2,7";"-2,4";-6;;;"6,77M";"7,17M";"6,76M";"6,87M";;;"38,5";"35,3";"34,2";"33,9";;;"-1,25M";"1,74M";"1,28M";"1,82M";;;"161K";"2,53M";"1,75M";"3,01M";;;"-11,2";"12,9";"9,4";"12,8";;;"-6,5";"7,2";"5,6";"7,7";;;0;0;0;0;;;"-0,9";-1;-1;"-0,9";;;"-7,1";"8,6";"6,5";9;;;"18,3M";"21,1M";"20,1M";"20,8M";;;"2,3";"2,3";"2,7";"2,7";;;"417K";"465K";"474K";"495K";;;"9,77M";"12,3M";"13,5M";"13,9M";;;"7,28M";"9,79M";"8,03M";"8,31M";;;;;;;;;117;160;132;162;;;108;125;119;105;;;"-12,3";"-7,1";"-50,9";"25,5";;;"-0,2";"-0,1";"-0,1";"-0,1";;;-117;"-6,6";"-5,4";"-5,6";;;"0,5";"10,5";"12,9";"11,7";;;"90,7K";"2,14M";"2,54M";"2,38M";;;"57,9";"55,6";"59,2";60;;;"743K";"3,18M";"2,7M";"3,54M";;;"17,6M";"20,3M";"19,8M";"20,3M";;;"-16,5";"-31,1";"-4,9";"9,8";;;"-56,7";"-76,4";"-57,2";"-48,1";;;"-2,73M";"-4,25M";"-3,1M";"-2,67M";;;"40,2";"45,3";"52,3";"57,9";;;"1,94M";"2,52M";"2,83M";"3,22M";;;"-794K";"-1,73M";"-265K";"546K";
"ABBANA";"21 SQ ST CHARLES 75012 PARIS 12";"Conseil en systèmes et logiciels informatiques";"Entre 10 et 19 salariés (donnée 2019)";"05/01/2005";"PHILIPPE LEMAIRE";"480 766 609";"480 766 609 00030";"EURL, entreprise unipersonnelle à responsabilité limitée";"FR49480766609";"480 766 609 R.C.S. Paris";"65 000,00 €";"31/12/2022";"INSCRIT  (au greffe de PARIS, le 07/02/2005)";;;;;;;;;;;;;;"1,49M";"1,61M";"1,41M";"1,16M";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"795K";"544K";"492K";"451K";;;;;;;;;;;;;;;;;;;;;;;;;;;"-0,6";"-0,9";"-0,9";"-0,9";;;;;;;;;;;;;;;"3,1";"3,8";"2,7";;;;;;;;;;"1,36M";"1,61M";"1,35M";"1,16M";;;"653K";"569K";"766K";;;;"6,1K";874;"11,3K";"21,7K";;;;;;;;;;;;;;;"-11,1";"21,2K";"-20,5";303;;;"-0,7";"-0,1";"-0,1";"-0,1";;;;;;;;;;;;;;;;;;;;;"78,2";76;"66,2";"70,4";;;;;;;;;;;;;;;;;;;;;;;;;;;"-354K";"-324K";"-330K";"-237K";;;;;;;;;"231K";"324K";"265K";"241K";;;"-123K";76;"-65,6K";"3,83K";
"ACTIVUS GROUP";"1 CHE DU PIGEONNIER DE CEPIERE 31100 TOULOUSE";"Conseil en systèmes et logiciels informatiques";"Entre 50 et 99 salariés (donnée 2019)";"01/01/2016";"ORESION, LFRA Holding, SOCIETE CASAS - VILLEMEUR - JEAN-MARIE, Guillaume CANTIER";"815 357 769";"815 357 769 00026";"SAS, société par actions simplifiée";"FR69815357769";"815 357 769 R.C.S. Toulouse";"105 000,00 €";"31/12/2022";"INSCRIT  (au greffe de TOULOUSE, le 21/12/2015)";;"4,35M";"3,44M";"3,43M";"-2,77K";;;"97,3";"84,2";"83,3";-111;;;"38,4K";"107K";"13,8K";86;;;-12;"-9,5";"-5,8";-134;;;138;115;105;100;;;"-6,4";"-5,9";"-4,1";-134;;;"-6,1";-6;"-5,2";-216;;;"9,7";-1;"165K";-50;;;"4,65M";"3,65M";"3,55M";;;;104;"89,4";"86,1";0;;;"425K";"375K";"664K";"-25,9K";;;"-535K";"-386K";"-237K";"-3,35K";;;"22,5";"25,4";"60,7";"-32,7";;;"6,2";"6,5";"14,1";"-2,5";;;"0,2";0;0;0;;;"0,9";1;"0,8";"9,2";;;"9,5";"9,2";"16,1";"-1,04K";;;"6,18M";"4,68M";"4,34M";"2,5K";;;"0,7";"0,8";"0,8";;;;"116K";"49,9K";"70,7K";591;;;"-315K";"393K";"-263K";"-152K";;;"3,5M";"3,68M";"2,99M";;;;"1,79M";"1,55M";"889K";"726K";;;115;154;233;"1,48K";;;"82,8";110;110;0;;;"0,9";"1,4";1;1;;;"2,4";"1,9";"2,6";"1,3";;;"2,7";"2,7";"1,2";-28;;;"14,6";13;18;"-1,04K";;;"655K";"529K";"742K";"-25,9K";;;"27,5";"25,4";"23,2";"7,6";;;"-288K";"-241K";"-168K";"-3,35K";;;"4,48M";"4,08M";"4,12M";"2,5K";;;"-28,8";"25,6";"-24,5";"-22,1K";;;"-67,9";"-38,5";"-84,2";"-19K";;;"-833K";"-430K";"-951K";"-130K";;;"39,1";"64,1";"59,7";"-3,12K";;;"479K";"716K";"674K";"-21,4K";;;"-353K";"286K";"-277K";"-152K";
"ADENTIS";"93 RUE NATIONALE 92100 BOULOGNE-BILLANCOURT";"Conseil en systèmes et logiciels informatiques";"Entre 200 et 249 salariés (donnée 2019)";"15/10/2000";"MOONGY, BEAS, DELOITTE & ASSOCIES";"433 242 351";"433 242 351 00057";"SASU, société par actions simplifiée unipersonnelle";"FR09433242351";"433 242 351 R.C.S. Nanterre";"222 550,00 €";"31/12/2022";"INSCRIT  (au greffe de NANTERRE, le 25/05/2012)";;"13,9M";"14,8M";"16,3M";"11,7M";;;"83,2";"84,8";"85,3";"86,8";;;"448K";"676K";"1,78M";"624K";;;"4,5";"8,1";"9,4";"9,1";;;102;103;103;100;;;5;"8,9";"12,9";"9,4";;;"0,1";"-0,4";"-0,7";"-0,4";;;"-4,6";"-8,7";"41,6";"35,3";;;"12,6M";"13,3M";"13,8M";"10,1M";;;"75,6";"76,5";"72,2";"74,8";;;"538K";"747K";"1,39M";"745K";;;"750K";"1,41M";"1,8M";"1,23M";;;"17,4";"29,3";"43,4";55;;;"5,6";"9,7";"16,6";"14,8";;;0;0;0;0;;;0;"-0,3";"-0,5";"-0,4";;;"3,2";"4,3";"7,3";"5,5";;;"17M";"18M";"19,7M";"13,5M";;;"1,1";"0,8";"1,2";"1,2";;;"523K";"447K";"553K";"364K";;;"1,47M";"-1,06M";"1,22M";"883K";;;"6,47M";"5,13M";"4,84M";"3,72M";;;"500K";5;"20,8K";"50,9K";;;255;227;176;177;;;126;"51,9";"27,9";"69,8";;;"1,4";"0,6";"-2,2";"3,4";;;"40,7";"-5,4";"-1,3";"-0,9";;;"0,1";"-0,8";"-0,9";"-0,7";;;"3,7";"5,1";"10,2";"5,9";;;"619K";"885K";"1,96M";"791K";;;"32,3";33;"38,2";27;;;"830K";"1,55M";"2,46M";"1,27M";;;"16,6M";"17,5M";"19,1M";"13,5M";;;"22,3";"-36,4";"-10,7";7;;;-62;"-53,9";"-12,7";"-39,4";;;"-2,83M";"-2,58M";"-664K";"-1,46M";;;"84,3";"17,5";2;"46,4";;;"3,85M";"837K";"106K";"1,72M";;;"1,02M";"-1,74M";"-557K";"258K";
"ADEO SERVICES
(LEROY MERLIN GROUPE)";"135 RUE SADI CARNOT 59790 RONCHIN";"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie";"Entre 500 et 999 salariés (donnée 2019)";"17/12/1998";"Philippe ZIMMERMANN, Franck LELY, AUDITEX, ERNST & YOUNG AUDIT, MAZARS";"421 206 079";"421 206 079 00020";"SAS, société par actions simplifiée";"FR25421206079";"421 206 079 R.C.S. Lillemetropole";"31 674 335,00 €";"31/12/2022";"INSCRIT  (au greffe de LILLEMETROPOLE, le 21/12/1998)";;"146M";"103M";"1,16Mds";"2,76Mds";;;"8,9";"6,3";"80,5";193;;;"121M";"116M";"58,7M";"20,6M";;;"1,3";"0,3";"76,3";"94,7";;;"35,1";107;109;77;;;"2,7";"1,6";"77,4";"94,7";;;"-1,1";"-4,3";0;0;;;"0,4";"13,1";232;"22,8";;;"145M";"131M";"121M";;;;"8,9";"8,1";"8,4";0;;;"11M";"31,1M";"-23,2M";"10,3M";;;"20,7M";"4,59M";"1,1Mds";"1,36Mds";;;5;"15,1";"-11,3";"5,4";;;1;"2,4";"-2,3";"1,2";;;"56,7";"56,9";"45,6";0;;;"-0,2";"-0,5";"-0,3";"-0,1";;;"0,7";"1,9";"-1,6";"0,7";;;"573M";"1,74Mds";"1,57Mds";"1,1Mds";;;"1,2";"1,1";"1,1";"1,2";;;"29,3M";"29,8M";"27,4M";"-27,7M";;;"228M";"139M";"96,3M";"141M";;;"923M";"1,06Mds";"783M";"668M";;;"71,1M";"6,37M";"4,89M";"8,03M";;;102;116;530;-107;;;147;177;150;142;;;"2,1";"12,9";"4,2";"-1,4";;;"-6,5";"-3,1";"-5,5";"-4,9";;;"-1,5";"-2,1";"6,7";"-1,2";;;"2,1";"3,2";"-0,6";"0,7";;;"33,7M";"52,1M";"-8,02M";"10,3M";;;"19,2";16;"20,4";"21,9";;;"43,3M";"25,7M";"1,11Mds";"1,36Mds";;;"1,63Mds";"1,63Mds";"1,44Mds";"1,43Mds";;;"24,1";"2,4";"5,8";"-26,1";;;"-86,4";-123;-87;"-68,4";;;"-386M";"-549M";"-342M";"-269M";;;111;126;"92,8";"42,3";;;"494M";"559M";"365M";"166M";;;"108M";"10,7M";"22,9M";"-102M";
"ADISTA
(RÉALISATIONS MICROÉLECTRONIQUES ET INFORMATIQUES - RMI)";"9 RUE BLAISE PASCAL 54320 MAXEVILLE";"Télécommunications filaires";"Entre 250 et 499 salariés (donnée 2019)";"29/10/1981";"ADISTA GROUP, DELOITTE & ASSOCIES SA";"323 159 715";"323 159 715 00305";"SAS, société par actions simplifiée";"FR47323159715";"323 159 715 R.C.S. Nancy";"110 365 039,38 €";"31/08/2022";"INSCRIT  (au greffe de NANCY, le 20/11/1981)";"48,2M";"46,1M";"41,4M";"36,5M";;;"40,8";"42,4";"40,6";"40,1";;;"2,93M";"5,57M";"8,55M";"7,62M";;;"5,1";"6,1";"4,1";"3,9";;;"99,2";"98,2";"98,2";"96,8";;;"11,9";"12,9";"10,7";11;;;"5,6";"1,1";"0,3";"0,3";;;"8,5";"6,8";12;"11,7";;;"34,2M";"31,3M";"29,9M";"25,9M";;;29;"28,8";"29,3";"28,4";;;"2,32M";"3,54M";"2,28M";"2,27M";;;"6,01M";"6,59M";"4,22M";"3,52M";;;"8,5";72;"22,9";"23,4";;;"1,7";"6,5";"4,6";"5,1";;;"3,3";"4,6";5;"4,1";;;"2,9";"3,1";"0,4";"0,3";;;2;"3,3";"2,2";"2,5";;;"117M";"107M";"100M";"88M";;;"0,6";"0,7";"0,9";"0,9";;;"1,45M";"1,49M";"1,34M";"1,19M";;;"-5,48M";"-1,45M";"2,05M";"913K";;;"41,3M";"42,5M";"32,8M";"29,3M";;;"82,1M";"20,7M";"12,1M";"10,2M";;;"73,1";"79,6";"70,1";"78,4";;;"36,4";"47,3";"48,1";"45,8";;;"0,7";"0,2";"-0,3";"-0,1";;;"1,5";"1,9";"6,1";"7,7";;;"7,5";"1,4";"0,4";"0,3";;;"8,9";"10,1";"8,8";"9,6";;;"10,5M";"11M";"8,98M";"8,73M";;;"19,8";9;20;"21,7";;;"14M";"14,1M";"10,9M";"9,98M";;;"118M";"109M";"102M";"91M";;;"-26,1";"-23,6";"-23,2";"-26,9";;;"-21,9";"-28,9";"-33,7";"-28,9";;;"-7,06M";"-8,61M";"-9,42M";"-7,2M";;;"-4,2";"5,3";"10,5";2;;;"-1,35M";"1,59M";"2,92M";"487K";;;"-8,41M";"-7,02M";"-6,5M";"-6,71M";;
